date,Pop,Rock,Hip Hop,R&B,Electronic/Dance,Country,Jazz,Reggae,Latin,Classical,기타
genres,2186,205,1183,289,360,562,0,0,0,0,74
genres,1966,196,1334,296,326,663,0,0,0,0,74
genres,1945,193,1325,303,332,634,0,0,0,0,95
genres,1957,192,1303,307,332,576,0,0,0,0,132
genres,2164,340,1344,392,33,681,0,53,0,0,43
genres,1967,202,1174,423,333,548,0,0,0,0,140
genres,1700,179,849,1210,327,386,0,0,0,0,88
genres,1895,243,998,744,334,403,0,0,0,0,145
genres,1608,160,1715,467,342,381,0,0,0,0,114
genres,1911,187,1168,477,359,356,54,0,0,0,239
genres,1881,125,1257,456,338,568,0,0,0,0,61
genres,1774,149,1305,482,341,661,0,0,0,0,65
genres,1960,139,1275,478,337,628,0,0,0,0,7
genres,2047,144,1321,438,328,531,0,0,0,0,22
genres,2134,174,1151,430,237,675,0,0,0,0,40
genres,2210,167,1320,389,68,764,0,55,0,0,48
genres,2191,164,1186,415,231,637,0,0,0,0,33
genres,2268,207,1159,398,202,578,0,0,0,0,67
genres,2380,124,1124,396,112,664,0,0,0,0,91
genres,2359,99,1270,398,159,542,0,0,0,0,78
genres,2269,100,1368,365,217,532,0,0,0,0,65
genres,2544,117,1206,331,211,458,0,0,0,0,63
genres,2355,115,1305,349,219,509,0,0,0,0,62
genres,1849,44,2160,275,215,348,0,0,0,0,46
genres,1940,49,1871,299,179,526,0,0,0,0,80
genres,1889,53,1703,288,186,753,0,0,0,0,86
genres,2308,153,1266,380,96,824,0,0,0,0,23
genres,1947,54,1754,265,198,672,0,0,0,0,104
genres,1775,50,2295,165,192,458,0,0,0,0,76
genres,1986,64,2003,166,199,492,0,0,0,0,90
genres,1838,112,1978,166,235,589,0,0,0,0,72
genres,1785,90,2073,140,207,648,0,0,0,0,57
genres,1896,97,1957,143,211,639,0,0,0,0,52
genres,2045,105,1811,85,233,653,0,0,0,0,92
genres,1892,106,1948,94,230,705,0,0,0,0,66
genres,1910,108,1905,87,208,756,0,0,0,0,68
genres,1979,100,1821,88,201,774,0,12,0,0,75
genres,2421,134,1272,364,77,771,0,0,0,0,11
genres,1915,118,1916,105,198,725,0,5,0,0,68
genres,1882,159,1965,54,190,769,0,5,0,0,26
genres,1959,156,1832,48,189,781,0,48,0,0,21
genres,1968,146,1986,29,191,624,0,77,0,0,6
genres,2041,174,1747,55,200,668,0,90,0,0,8
genres,1930,174,1797,51,199,665,0,101,0,0,0
genres,1914,218,1642,86,209,750,0,103,0,0,0
genres,1956,229,1595,101,210,734,0,111,0,0,0
genres,1896,229,1572,82,262,794,0,112,0,0,0
genres,1978,233,1614,79,249,684,0,115,0,0,0
genres,2463,114,1249,361,72,781,0,0,0,0,10
genres,1877,237,1690,50,235,532,0,107,0,0,224
genres,2021,249,1575,67,173,609,0,106,0,0,151
genres,2160,248,1467,65,158,620,0,108,0,0,125
genres,2114,258,1526,94,160,593,0,113,0,0,92
genres,2182,273,1436,92,160,632,0,105,0,0,70
genres,2113,279,1516,105,111,636,0,123,0,0,67
genres,2162,277,1370,120,105,646,0,120,0,0,147
genres,2129,280,1402,147,109,682,0,124,0,0,68
genres,2212,274,1500,132,54,600,0,118,0,0,59
genres,2209,271,1492,164,51,605,0,92,0,0,63
